"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","610","test_go_to_order_history[firefox]","tests","Mon Apr 21 01:43:46 CEST 2025","passed","Mon Apr 21 01:43:46 CEST 2025","TestProfile","test_profile","",""
"","52","test_go_to_constructor[chrome]","tests","Mon Apr 21 01:40:59 CEST 2025","passed","Mon Apr 21 01:40:59 CEST 2025","TestMainPage","test_main_page","",""
"","776","test_open_order_details_from_feed[firefox]","tests","Mon Apr 21 01:41:39 CEST 2025","passed","Mon Apr 21 01:41:40 CEST 2025","TestOrderFeed","test_order_feed","",""
"","3113","test_restore_password[firefox]","tests","Mon Apr 21 01:43:17 CEST 2025","passed","Mon Apr 21 01:43:20 CEST 2025","TestPasswordReset","test_password_reset","",""
"","1270","test_user_orders_appear_in_feed[firefox]","tests","Mon Apr 21 01:41:51 CEST 2025","passed","Mon Apr 21 01:41:52 CEST 2025","TestOrderFeed","test_order_feed","",""
"","6046","test_total_done_counter_increases[firefox]","tests","Mon Apr 21 01:42:07 CEST 2025","passed","Mon Apr 21 01:42:13 CEST 2025","TestOrderFeed","test_order_feed","",""
"","55","test_go_to_constructor[firefox]","tests","Mon Apr 21 01:40:56 CEST 2025","passed","Mon Apr 21 01:40:56 CEST 2025","TestMainPage","test_main_page","",""
"","1530","test_show_password_button_activates_input[firefox]","tests","Mon Apr 21 01:43:26 CEST 2025","passed","Mon Apr 21 01:43:27 CEST 2025","TestPasswordReset","test_password_reset","",""
"","453","test_go_to_reset_password_page[firefox]","tests","Mon Apr 21 01:43:11 CEST 2025","passed","Mon Apr 21 01:43:11 CEST 2025","TestPasswordReset","test_password_reset","",""
"","1136","test_create_order_when_logged_in[firefox]","tests","Mon Apr 21 01:41:29 CEST 2025","passed","Mon Apr 21 01:41:30 CEST 2025","TestMainPage","test_main_page","",""
"","562","test_go_to_profile[firefox]","tests","Mon Apr 21 01:43:35 CEST 2025","passed","Mon Apr 21 01:43:36 CEST 2025","TestProfile","test_profile","",""
"","497","test_go_to_reset_password_page[chrome]","tests","Mon Apr 21 01:43:14 CEST 2025","passed","Mon Apr 21 01:43:14 CEST 2025","TestPasswordReset","test_password_reset","",""
